Sl. No.,State/UT,2019-20,2020-21,2021-22,Total Number of Schools Approved in Last Three Years
1,Andaman & Nicobar Islands,6,12,24,42
2,Andhra Pradesh,181,40,28,249
3,Arunachal Pradesh,2,0,70,72
4,Assam,70,156,213,439
5,Bihar,0,0,43,43
6,Chandigarh,6,6,10,22
7,Chhattisgarh,0,32,14,46
8,Daman & Diu and Dadra & Nagar Haveli,0,11,4,15
9,Delhi,43,37,36,116
10,Goa,20,2,18,40
11,Gujarat,102,138,85,325
12,Haryana,14,9,34,57
13,Himachal Pradesh,0,50,97,147
14,Jammu & Kashmir,84,77,353,514
15,Jharkhand,128,58,44,230
16,Karnataka,0,53,37,90
17,Kerala,73,100,54,227
18,Ladakh,0,11,4,15
19,Lakshadweep,5,4,0,9
20,Madhya Pradesh,574,0,0,574
21,Maharashtra,43,3,20,66
22,Manipur,16,19,43,78
23,Meghalaya,1,30,38,69
24,Mizoram,2,17,6,25
25,Nagaland,8,8,19,35
26,Odisha,142,385,30,557
27,Puducherry,4,3,0,7
28,Punjab,0,34,50,84
29,Rajasthan,0,0,132,132
30,Sikkim,10,0,4,14
31,Tamil Nadu,53,64,42,159
32,Telangana,100,0,0,100
33,Tripura,56,55,70,181
34,Uttar Pradesh,0,0,0,0
35,Uttarakhand,0,0,0,0
36,West Bengal,50,0,0,50
